Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",144.956,637.485,512.077,148.534,76.2324,24.5882,1.00463,46.7084,107.279,112.225,114.072,10.08,157.168,6.09321,4.73472,0.508666,9.87216,8.78633,2.54663,0.290061,0.17894,0.246544,0.725794,0.421834,0.615643,0.432474,1.03748,0.325581,3.68956,0.325388,-0.963786,-0.515627,137.132,61.8085,181.794,-1.47941,0.79896,60.14872622489929,-6.20372086763382,7.72667,1.9299999475479126,4.03984,0.841682,1.48218,4.03984,-0.841682,3.02376,1211.1,8.352413793,1211.1,8.352413793,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",151.216,659.757,598.316,173.978,102.721,36.7116,6.26187,28.2839,99.9997,91.7864,48.2088,5.73085,112.952,6.56255,5.98867,0.681535,6.19419,33.7694,9.26842,0.29078,0.0730705,0.171202,0.426809,0.347077,0.514888,0.36468,0.861965,0.224108,6.99683,0.314628,1.32351,1.95643,105.609,27.6534,135.224,3.27994,4.9738,30.746731281280518,11.9745454788208,6.65546,2.950000047683716,3.07912,0.177392,0.681324,3.07912,-0.177392,4.09157,985.5,6.526490066,985.5,6.526490066,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.405,657.346,579.47,156.292,93.1698,32.7669,4.18203,26.1735,96.3895,83.0045,67.0798,3.50442,139.626,5.88004,4.38094,0.535493,9.22096,23.6374,5.09889,0.269716,0.102046,0.212408,0.480426,0.349038,0.4762,0.354192,0.825238,0.206484,6.06063,0.31125,0.668291,1.56581,99.6255,21.9549,129.978,2.2341,-0.406386,25.459713220596313,6.649380594491959,5.59996,12.510000228881836,1.8386,0.0476063,0.417618,1.8386,-0.0476063,4.44318,908.1,5.974342105,908.1,5.974342105,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",151.402,658.878,598.894,162.233,101.809,27.9663,2.98011,29.4776,93.2631,91.091,47.2501,3.91778,145.451,8.8666,3.39517,0.472341,10.5229,27.8924,6.50143,0.270888,0.071713,0.220756,0.324851,0.331634,0.475196,0.345302,0.80683,0.204309,6.01085,0.310641,-0.156301,1.89932,95.1017,17.2502,128.941,1.74302,4.6093,24.217324137687683,6.755021572113037,5.48905,10.239999771118164,2.61494,-0.955555,0.268457,2.61494,0.955555,4.64206,880.7,5.832450331,880.7,5.832450331,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Cal Raleigh","SEA",150.331,625.895,540.168,123.67,61.213,22.525,0.293092,39.6384,85.4028,101.642,75.6313,8.67732,169.006,5.68596,3.90477,0.504673,5.74295,8.01914,2.28546,0.228946,0.120837,0.270023,0.447508,0.327774,0.491877,0.346746,0.819651,0.26293,3.3125,0.250519,-1.38857,-0.215761,91.0751,17.1207,129.936,-1.60433,3.24826,20.479005455970764,10.018670082092285,5.32434,18.3700008392334,2.66487,1.22066,1.78467,2.66487,-1.22066,2.62044,852.7,5.684666666,852.7,5.684666666,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"José Ramírez","CLE",150.686,648.991,574.932,156.872,93.117,33.2024,2.88584,27.6664,92.2099,88.7539,63.7927,10.08,74.349,4.48561,5.54685,0.233439,6.7797,33.3157,8.02991,0.272853,0.0982953,0.114561,0.858018,0.347048,0.485005,0.352377,0.832053,0.212153,6.03545,0.270042,-0.294786,2.37582,97.4028,20.7196,128.468,2.08103,0.469386,23.85640597343445,1.068718045949936,4.83553,5.630000114440918,2.02452,0.197188,0.563267,2.02452,-0.197188,4.24898,924.5,6.122516556,924.5,6.122516556,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Vladimir Guerrero Jr.","TOR",152.948,662.514,576.642,169.539,108.567,31.7229,0.467357,28.7817,93.6847,95.2017,74.8943,7.96966,90.6734,6.27805,4.47295,0.227215,15.1822,4.69451,2.0483,0.294011,0.113046,0.136863,0.825978,0.378554,0.500383,0.375517,0.878937,0.206372,2.95707,0.304894,-0.225654,-1.0999,111.879,33.5982,143.827,-1.32555,-0.972882,32.89688217639923,-12.969068765640259,4.37186,17.729999542236328,2.85344,0.291166,1.3364,2.85344,-0.291166,3.21813,987.3,6.452941176,987.3,6.452941176,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Corey Seager","TEX",123.003,526.432,458.964,125.133,74.7347,23.613,0.361636,26.424,69.9109,75.5473,59.3165,9.34035,97.7246,4.41825,3.54178,0.192031,9.83647,2.42444,0.552315,0.272643,0.112676,0.185636,0.606977,0.358901,0.498387,0.363061,0.857288,0.225744,2.64986,0.291731,-0.861601,-0.593763,83.5754,21.3733,136.049,-1.45536,0.334561,20.911418795585632,3.656391352415085,4.36739,98.31999969482422,3.20727,-0.330975,0.835772,3.20727,0.330975,3.88564,745,6.056910569,745,6.056910569,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Junior Caminero","TBR",147.876,630.993,579.429,156.502,92.5398,26.5147,0.992616,36.4552,83.6551,102.55,42.8899,1.90726,123.128,3.81252,4.66434,0.197441,15.1094,5.8197,1.59986,0.270097,0.0679721,0.195133,0.348337,0.32214,0.508031,0.352672,0.830171,0.237933,3.5573,0.28279,-0.120526,-0.397871,94.8525,20.2958,126.975,-0.518398,-2.57317,19.598896622657776,-0.8676483631134033,4.10138,16.540000915527344,3.0292,-0.745605,1.18261,3.0292,0.745605,3.42319,869.4,5.874324324,869.4,5.874324324,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Zach Neto","LAA",147.823,633.879,566.624,142.369,84.1039,30.379,1.2296,26.6565,86.2946,75.1616,44.3659,3.33411,155.43,16.4778,3.5681,2.84344,7.84326,26.8199,8.14846,0.251258,0.0699911,0.245204,0.28544,0.322031,0.450346,0.332608,0.772377,0.199088,5.60626,0.298147,0.511067,1.09215,84.9607,10.063,112.487,1.60322,0.419614,10.93228566646576,7.263281911611557,4.0938,27.149999618530273,1.50876,-0.538232,0.727826,1.50876,0.538232,4.02956,783.6,5.294594594,783.6,5.294594594,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
