Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.2286,6.75514,18.3845,2.71828,29.8417,29.8417,0,0,0,192.28,752.309,147.569,63.1245,58.0746,18.7203,38.6955,0.665513,6.50926,232.792,10.8962,1.81121,6.016,0.876236,0.309437,0.0514356,0.2580011449754238,0.208695,0.968713,0.282816,0.769355,,,2.68472,6.01053,5.94871,6.900000095367432,3.3964,-1.59375,2.0436,3.3964,1.59375,2.2752,1130.3000000000002,5.886979166666667,1041,5.421875,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",13.5011,7.91971,15.55,3.04827,28.9291,28.9291,0,0,0.706619,181.736,726.685,146.121,66.9059,61.5534,19.3645,46.6126,1.79746,5.09929,223.062,11.0465,2.30836,4.78544,0.958977,0.306958,0.0641442,0.24281390011310577,0.216484,1.06051,0.293046,0.759722,,,2.91917,5.07826,5.0605,11.760000228881836,5.03631,-1.16415,1.43129,5.03631,1.16415,3.09162,1023.4999999999999,5.623626373626373,953,5.236263736263736,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Cole Ragans","KCR",9.955,7.82214,12.8749,3.42647,25.999,25.999,0,0,0,152.616,624.038,121.48,63.1563,58.1038,16.4004,53.5448,1.73839,4.90108,188.961,11.1433,3.15762,3.52903,0.967156,0.302804,0.0858037,0.21700012683868408,0.214783,1.14683,0.2917,0.735665,,,3.20473,3.74376,3.32331,44.900001525878906,4.0268,-0.615039,0.881863,4.0268,0.615039,3.82418,821.8000000000001,5.37124183006536,758,4.954248366013072,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Dylan Cease","TOR",10.9588,9.79566,12.9348,3.71186,29.7858,29.7858,0,0,0,175.257,728.144,145.801,78.5662,72.2809,21.3066,66.9761,1.52166,5.3695,207.176,10.6391,3.43944,3.09328,1.09416,0.284526,0.091982,0.1925436407327652,0.222326,1.21409,0.29134,0.733601,,,3.58973,3.69125,2.86849,79.68000030517578,6.01766,-1.1665,1.14825,6.01766,1.1665,3.46899,855.1,4.886285714285714,800,4.571428571428571,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Framber Valdez","DET",12.896,9.65074,15.9563,3.49001,28.6856,28.6856,0,0,0,186.858,779.814,166.829,78.7602,72.4594,15.8984,61.1166,0.724796,8.11279,173.96,8.3788,2.94369,2.84636,0.765746,0.223079,0.0783733,0.14470576494932175,0.234777,1.21989,0.289847,0.7253,,,3.49074,3.6619,3.73715,88.12000274658203,3.94925,-2.13831,1.12504,3.94925,2.13831,3.49995,893.8,4.779679144385026,868,4.641711229946524,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Hunter Brown","HOU",12.3051,8.83685,16.0555,3.48857,29.7094,29.7094,0,0,0,182.516,752.766,155.249,76.8986,70.7467,20.061,59.3416,1.52789,7.05392,197.202,9.72416,2.92618,3.32317,0.989224,0.261969,0.0788313,0.1831381618976593,0.226188,1.17574,0.288181,0.738274,,,3.49443,3.63849,3.61806,37.439998626708984,3.31826,0.553853,1.04823,3.31826,-0.553853,3.60236,901.2,4.924590163934426,851,4.6502732240437155,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Max Fried","NYY",13.7144,8.0989,15.9421,3.32003,28.6364,28.6364,0,0.176782,0,180.471,743.029,158.166,72.3635,66.5744,16.5528,52.5911,0.857715,7.1005,170.978,8.52656,2.62269,3.25108,0.825477,0.230109,0.0707794,0.15932971984148026,0.231461,1.16782,0.285622,0.737772,,,3.42496,3.63785,4.1517,53.02000045776367,2.4055,-1.8309,1.11411,2.4055,1.8309,3.51452,874.1000000000001,4.856111111111112,841,4.6722222222222225,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Sonny Gray","BOS",11.7202,8.72291,13.4487,3.81008,28.2453,28.2453,0,0,0,169.056,696.576,155.592,77.7921,71.5687,20.9057,43.8691,0.654278,5.16058,178.631,9.50969,2.33544,4.0719,1.11295,0.256441,0.0629782,0.19346267729997635,0.240279,1.17985,0.300632,0.714888,,,3.49952,3.491,2.97405,131.9499969482422,2.86954,-0.895654,0.956409,2.86954,0.895654,3.72479,797.7000000000002,4.720118343195267,783,4.633136094674557,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Bryan Woo","SEA",13.4039,8.46259,15.5414,3.39985,29.5293,29.5293,0,0,0,185.179,740.951,153.159,76.0362,69.9533,24.3772,38.3463,0.935782,7.06617,187.145,9.09556,1.8637,4.88039,1.18478,0.252574,0.0517528,0.2008211724460125,0.220202,1.03417,0.26607,0.73371,,,3.56095,3.47736,3.32826,37.79999923706055,3.4594,0.0814087,1.37842,3.4594,-0.0814087,3.1621,915,4.945945945945946,852,4.605405405405405,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jacob deGrom","TEX",9.89547,6.79495,11.9329,3.43348,25.6534,25.6534,0,0,0,154.789,617.005,127.247,64.1865,59.0515,21.1422,34.9445,0.55464,4.3784,174.386,10.1395,2.0318,4.99039,1.22929,0.282634,0.0566356,0.22599801048636436,0.220271,1.04782,0.277649,0.739145,,,3.41969,3.4167,3.13942,47.900001525878906,2.76029,-0.873057,1.10401,2.76029,0.873057,3.52799,789.5,5.093548387096774,733,4.7290322580645165,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Logan Gilbert","SEA",10.3219,7.86466,13.4169,3.42721,28.0152,28.0152,0,0,0,165.528,659.942,136.102,68.5143,63.0331,21.7358,36.6031,1.11317,5.55142,185.226,10.071,1.99017,5.06039,1.18181,0.28067,0.0554641,0.2252061553299427,0.220305,1.04336,0.278381,0.73232,,,3.36819,3.3204,2.89196,33.849998474121094,3.15674,0.64308,1.1949,3.15674,-0.64308,3.4068,845.2000000000002,5.091566265060242,785,4.728915662650603,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Ranger Suárez","BOS",11.1397,8.80917,13.6435,3.67797,27.1624,27.1624,0,0,0,165.979,693.754,158.247,73.7276,67.8294,16.8675,47.1308,0.830155,5.37895,149.493,8.1061,2.55561,3.17188,0.91462,0.215484,0.0679359,0.14754846692085266,0.246781,1.23737,0.297713,0.724294,,,3.60399,3.30151,3.19629,175.32000732421875,2.79383,0.927066,0.855806,2.79383,-0.927066,3.85892,750.5000000000002,4.521084337349399,751,4.524096385542169,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Kevin Gausman","TOR",11.5645,10.1402,14.0468,3.9136,29.3239,29.3239,0,0.177982,0,181.696,749.033,165.031,85.8798,79.0094,24.119,51.3775,1.08987,3.88935,177.927,8.81329,2.5449,3.46312,1.19469,0.237542,0.0685918,0.16895008087158203,0.237876,1.19104,0.286569,0.714669,,,3.81481,3.19085,2.57337,120.22000122070312,3.28424,0.0840509,1.02118,3.28424,-0.0840509,3.63843,813.5999999999999,4.4703296703296695,789,4.335164835164835,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Joe Ryan","MIN",11.0174,9.50629,13.4259,3.81889,27.8349,27.8349,0,0,0,167.915,680.125,145.154,77.4455,71.2499,25.2181,38.176,0.566831,8.16271,184.733,9.90144,2.04618,4.839,1.35165,0.271617,0.0561308,0.21548601984977722,0.229026,1.0918,0.282977,0.715316,,,3.7151,3.16845,2.7409,74.45999908447266,1.91039,1.09893,1.11208,1.91039,-1.09893,3.51722,790.7,4.706547619047619,747,4.446428571428571,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"George Kirby","SEA",11.7742,8.97644,13.5845,3.61609,28.0552,28.0552,0,0,0,165.926,672.024,151.367,72.4644,66.6672,20.1823,31.3959,0.647843,6.65073,162.199,8.79783,1.70294,5.16625,1.0947,0.241359,0.0467184,0.19464074447751045,0.238757,1.10147,0.29049,0.71387,,,3.4492,3.13389,2.5478,69.61000061035156,2.95044,-0.767596,0.941453,2.95044,0.767596,3.74473,799.8000000000001,4.8180722891566266,780,4.698795180722891,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Nathan Eovaldi","TEX",10.5721,8.08018,13.1949,3.66228,25.094,25.094,0,0.172818,0,154.98,630.799,135.849,68.5484,63.0645,18.2683,37.5991,0.961167,6.35808,150.243,8.72493,2.18345,3.99594,1.06088,0.23818,0.0596055,0.17857421562075615,0.231492,1.11917,0.281073,0.709394,,,3.57953,2.95888,2.58605,147.7100067138672,4.11163,0.442607,0.776622,4.11163,-0.442607,3.9645,739.9999999999999,4.774193548387096,709,4.574193548387097,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Kyle Bradish","BAL",7.97981,6.70374,10.0686,3.61216,24.1461,24.1461,0,0,0,134.025,553.514,115.135,58.4686,53.7911,15.106,42.4414,0.520844,5.92472,144.399,9.69666,2.85001,3.40233,1.01439,0.260878,0.0766763,0.1842014342546463,0.227923,1.17572,0.2894,0.726447,,,3.52817,2.85959,2.41257,70.23999786376953,2.73595,-0.649701,0.509823,2.73595,0.649701,4.32024,652.0999999999999,4.866417910447761,619,4.619402985074627,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"Drew Rasmussen","TBR",9.66134,7.77395,10.2376,3.62182,28.5361,28.5361,0.164612,0,0,153.627,628.541,137.693,67.1991,61.8232,17.123,38.7222,0.812584,5.0717,140.305,8.21954,2.26848,3.62337,1.00312,0.223223,0.0616064,0.1616165041923523,0.235474,1.14833,0.282154,0.716439,,,3.61273,2.84264,2.9472,152.8000030517578,3.28349,0.62791,0.606251,3.28349,-0.62791,4.19167,719.7000000000003,4.673376623376625,697,4.525974025974026,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"José Soriano","LAA",9.82258,10.0711,12.8805,3.76697,29.4671,29.4671,0,0.231316,0.197353,168.301,721.599,150.479,76.5682,70.4428,14.4243,72.43,1.30237,8.93363,155.861,8.33473,3.87324,2.15188,0.771347,0.215993,0.100374,0.11561910808086395,0.235037,1.32446,0.289508,0.721904,,,3.84746,2.68177,2.77436,345.7799987792969,2.03262,-1.13,1.23422,2.03262,1.13,3.35437,750,4.464285714285714,727,4.3273809523809526,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"MacKenzie Gore","TEX",9.78949,9.99063,12.0424,3.91095,28.2626,28.2626,0,0,0,159.757,672.483,140.326,75.459,69.4223,20.6133,60.7199,0.670165,6.54578,179.805,10.1295,3.4207,2.96123,1.16127,0.267375,0.090292,0.1770830973982811,0.23186,1.25845,0.295733,0.729362,,,3.82468,2.64378,2.26165,166.8300018310547,4.6955,-1.44347,1.03796,4.6955,1.44347,3.61606,717.7,4.485625000000001,683,4.26875,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Jack Flaherty","DET",10.1388,9.89876,11.8243,4.04919,27.9567,27.9567,0,0,0,159.005,666.792,142.872,77.7586,71.5379,21.5022,54.4242,1.08788,6.79059,175.072,9.90941,3.08052,3.2168,1.21707,0.262558,0.081621,0.18093733489513397,0.235928,1.24082,0.296746,0.714968,,,3.84599,2.62706,2.01617,221.1199951171875,2.66428,-0.705491,1.0407,2.66428,0.705491,3.6124,701.2,4.410062893081761,676,4.251572327044025,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Tanner Bibee","CLE",11.0939,10.0765,12.3799,3.9805,29.3009,29.3009,0,0,0,178.98,746.477,164.667,86.042,79.1587,24.4098,52.9931,1.01946,7.98664,167.775,8.4366,2.66476,3.16599,1.22745,0.224756,0.0709909,0.15376528352499008,0.240215,1.21612,0.284317,0.717318,,,4.05544,2.51431,2.3285,188.2899932861328,3.31625,-1.34677,0.998653,3.31625,1.34677,3.66846,753.4000000000001,4.208938547486034,736,4.111731843575419,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
