Name,Team,Age,K%,CSW%,Stuff+,xERA,Location+,SwStr%,NameASCII,PlayerId,MLBAMID
"Josh Hader","HOU",31,0.36893204,0.34002361,118.22126190476189,1.9958071190069766,100.27926190476195,0.21133412,"Josh Hader",14212,623352
"Aroldis Chapman","BOS",37,0.37280702,0.31521739,107.72594298245609,2.060281595618892,124.86844298245609,0.18695652,"Aroldis Chapman",10233,547973
"Bennett Sousa","HOU",30,0.29648241,0.32417582,107.1163157894737,2.880453464959033,99.49052631578944,0.18131868,"Bennett Sousa",21345,656986
"Griffin Jax","- - -",30,0.34982332,0.35224154,109.16791893682421,3.250700136944678,116.61186711682706,0.18115279,"Griffin Jax",20253,643377
"Bryan Abreu","HOU",28,0.35472973,0.33753149,110.42687973086623,3.412074852127331,89.98057190916738,0.17800168,"Bryan Abreu",16609,650556
"Edwin Uceta","TBR",27,0.32087227,0.29571664,96.10337763878033,3.871023809312255,105.29996872556686,0.17215815,"Edwin Uceta",20539,670955
"Devin Williams","NYY",30,0.34749035,0.30913978,114.37765976597659,3.0530043819913417,101.05980198019803,0.16756272,"Devin Williams",15816,642207
"Brendon Little","TOR",28,0.30847458,0.32903226,117.16636363636364,3.3596687892864505,81.7010876623377,0.16612903,"Brendon Little",21574,663893
"Tarik Skubal","DET",28,0.32219251,0.32081432,116.02188510491914,2.710346836848104,104.83583075335396,0.16567217,"Tarik Skubal",22267,669373
"Garrett Whitlock","BOS",29,0.3105802,0.31694915,99.10684745762717,2.7892535095283804,111.77459322033894,0.16271186,"Garrett Whitlock",20191,676477
"Garrett Cleavinger","TBR",31,0.33744856,0.34324943,111.39150622876555,3.2193198313261386,99.95519818799548,0.1624714,"Garrett Cleavinger",17897,664076
"Andrés Muñoz","SEA",26,0.32677165,0.33429952,120.08420123565752,2.8119916811941903,87.4458252427184,0.16135266,"Andres Munoz",20373,662253
"Steven Okert","HOU",33,0.30434783,0.30579297,115.25803446734818,2.632446781495859,97.3037129955496,0.15764482,"Steven Okert",13580,595345
"Cole Ragans","KCR",27,0.38132296,0.31510658,108.8084543761639,2.668361916316302,100.44040968342645,0.15755329,"Cole Ragans",21846,666142
"Cade Smith","CLE",26,0.34666667,0.30879865,108.0495246179966,2.507430867821359,106.9518336162988,0.15736041,"Cade Smith",27867,671922
"Logan Gilbert","SEA",28,0.32336449,0.30751391,95.85941422594142,3.084206169207837,110.32838679683861,0.15538033,"Logan Gilbert",22250,669302
"Hunter Gaddis","CLE",27,0.26642336,0.29847909,94.6887631831256,3.614059421654575,103.34636625119852,0.15019011,"Hunter Gaddis",25636,683769
"Jeff Hoffman","TOR",32,0.29268293,0.30230496,107.00146384479719,3.7462716722675578,92.49158730158729,0.14804965,"Jeff Hoffman",17432,656546
"Reid Detmers","LAA",25,0.30075188,0.31642066,112.42230055658625,3.601541603035342,111.6150834879407,0.14575646,"Reid Detmers",27468,672282
"Jacob deGrom","TEX",37,0.27653214,0.2888804,110.72691924990431,3.3567820548562897,105.79580558744732,0.14252961,"Jacob deGrom",10954,594798
"Brandon Eisert","CHW",27,0.24183007,0.28266228,79.1464649645789,4.093203990229715,109.19008701431343,0.14050945,"Brandon Eisert",27668,685126
"Gabe Speier","SEA",30,0.33744856,0.31378936,112.72353963083602,2.487513483063781,107.43845819761125,0.14006515,"Gabe Speier",17170,642100
"Justin Sterner","ATH",28,0.26315789,0.27355901,108.64725988633309,3.3308106460525027,91.92023607478481,0.1399817,"Justin Sterner",27694,686993
"Mason Fluharty","TOR",23,0.26046512,0.30500582,117.98497663551407,3.3004741540931204,89.73296728971964,0.13853318,"Mason Fluharty",31553,689254
"Luke Weaver","NYY",31,0.27480916,0.26692088,96.69731684110374,2.9382273391161635,99.15587059942911,0.13822688,"Luke Weaver",16918,596133
"Seranthony Domínguez","- - -",30,0.30268199,0.2876588,113.78617718062164,3.2439825329455725,83.8955652099021,0.13702359,"Seranthony Dominguez",19249,622554
"Garrett Crochet","BOS",26,0.31326781,0.29038401,116.0578166772756,2.88012613853992,99.45848504137494,0.13678197,"Garrett Crochet",27463,676979
"Jordan Leasure","CHW",26,0.30111524,0.26283186,99.19789867296538,3.1767646967170906,95.67918035063077,0.13628319,"Jordan Leasure",29950,673929
"Robert Garcia","TEX",29,0.2527881,0.31140802,102.67140495867761,3.806900257396373,100.59762396694214,0.1356629,"Robert Garcia",23363,676395
"Kris Bubic","KCR",27,0.24369748,0.30139276,93.28014476614693,3.1683300096590585,103.38664810690426,0.13370474,"Kris Bubic",21455,663460
"Bryan Baker","- - -",30,0.30291971,0.29038113,108.39300745632254,4.005118782764332,103.69998975940055,0.13157895,"Bryan Baker",19804,641329
"Louis Varland","- - -",27,0.25337838,0.27861163,111.01657359816049,3.999283275710889,102.01117798247967,0.13133208,"Louis Varland",27691,686973
"David Festa","MIN",25,0.23144105,0.26077098,90.61005742782426,4.843535191060759,105.02924031937168,0.13038549,"David Festa",30056,701581
"Jacob Latz","TEX",29,0.2183908,0.26853852,102.68437036480314,4.11439456613237,101.74072089367218,0.13030958,"Jacob Latz",21306,656641
